,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
285,Wisconsin,4718806,38459,39057,17152.0,16817.0,55,2016,77516,33969.0
286,Wyoming,466401,5623,5174,1605.0,3353.0,56,2016,10797,4958.0
287,Puerto Rico,2854814,10611,11926,7729.0,8182.0,72,2016,22537,15911.0
288,Alabama,3962122,31627,32805,16436.0,19366.0,01,2016,64432,35802.0
289,Alaska,584670,6923,7117,2841.0,2398.0,02,2016,14040,5239.0
290,Arizona,5579306,45572,47773,19857.0,28034.0,04,2016,93345,47891.0
291,Arkansas,2400908,25865,25879,13141.0,16103.0,05,2016,51744,29244.0
292,California,31696515,284900,265834,102730.0,116989.0,06,2016,550734,219719.0
293,Colorado,4490574,50869,52706,19731.0,18067.0,08,2016,103575,37798.0
294,Delaware,782833,5294,5395,2652.0,3581.0,10,2016,10689,6233.0
295,District of Columbia,576040,7533,7163,1811.0,1762.0,11,2016,14696,3573.0
296,Connecticut,2966525,22824,24404,8699.0,14426.0,09,2016,47228,23125.0
297,Florida,17195240,140597,128836,70478.0,74969.0,12,2016,269433,145447.0
298,Georgia,8232061,80280,75814,32512.0,42224.0,13,2016,156094,74736.0
299,Idaho,1320797,12753,13773,8159.0,7366.0,16,2016,26526,15525.0
300,Hawaii,1168033,12484,11632,3279.0,4193.0,15,2016,24116,7472.0
301,Illinois,10394067,85551,81248,34858.0,36296.0,17,2016,166799,71154.0
302,Indiana,5331071,51671,54557,24845.0,26983.0,18,2016,106228,51828.0
303,Iowa,2529447,20132,20392,9119.0,9838.0,19,2016,40524,18957.0
304,Kansas,2310304,22911,22520,11953.0,10636.0,20,2016,45431,22589.0
305,Kentucky,3600690,33197,33408,16093.0,18400.0,21,2016,66605,34493.0
306,Louisiana,3751715,26759,29134,16142.0,19307.0,22,2016,55893,35449.0
307,Maine,1123728,6840,8999,4316.0,5371.0,23,2016,15839,9687.0
308,Maryland,4902314,41310,42786,18945.0,20920.0,24,2016,84096,39865.0
309,Massachusetts,5683233,45224,44540,16250.0,16596.0,25,2016,89764,32846.0
310,Michigan,8138464,65284,68218,33036.0,31926.0,26,2016,133502,64962.0
311,Minnesota,4446706,37915,38653,14617.0,15299.0,27,2016,76568,29916.0
312,Mississippi,2393019,18864,20401,8595.0,10132.0,28,2017,39265,18727.0
313,Missouri,4963584,47241,47112,23241.0,21080.0,29,2017,94353,44321.0
314,Montana,859328,6933,7540,3501.0,2794.0,30,2017,14473,6295.0
315,Nebraska,1521245,13326,12469,5630.0,6454.0,31,2017,25795,12084.0
316,Nevada,2429800,24773,22659,9382.0,11640.0,32,2017,47432,21022.0
317,New Hampshire,1133744,9908,9055,3865.0,5488.0,33,2017,18963,9353.0
